Item,Price,Rating,Number_of_reviews,Status,Image_link
Acer Predator Helios Neo 14.5 inch QHD+ 120Hz Gaming Laptop Intel Core Ultra 7-155H NVIDIA GeForce RTX 4070 16GB DDR5 RAM 1TB SSD Obsidian Black (2024),"1,599.$.00",4.9,21,,https://i5.walmartimages.com/asr/e89fe9dd-c568-4db7-93c9-b2a194f00054.b21f84d394c0ef84c901bed792a923f7.png?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"eufy Security 5-Piece Home Security Kit, Homebase, Keypad, Motion Sensor, Entry Sensors",99.$.98,4.7,22,,https://i5.walmartimages.com/asr/c552b79f-54fa-4380-9e23-5132ecad3fd9.f09cb902433eeb3e2e985e903998533d.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
SAMSUNG 85 Class DU7200B Crystal UHD 4K Smart TV UN85DU7200BXZA 2024,"1,097.$.99",4.6,157,,https://i5.walmartimages.com/asr/891102a4-7ead-43bb-b972-cf8e6f8acbc2.7a23d9f97bf2e3859ce90ec27e06f838.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Hisense 55-Inch Class U6 Series Mini-LED ULED 4K UHD Google Smart TV (55U6N) - QLED Quantum Dot Color, Dolby Vision, Full Array Local Dimming, Game Mode Plus",448.$.00,4.8,11,,https://i5.walmartimages.com/asr/647970a5-96f8-40be-9594-06f137a434ba.e431170283a13cd93207ea5861ce7172.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Razer BlackShark V2 SE Wired Gaming Headset for PC, PS4, PS5, Xbox X|S, Switch, 262 g, Black",74.$.95,4.6,161,,https://i5.walmartimages.com/asr/7ebd085a-d4f5-4273-b269-cbd2897f6f94.1f79972e65b11a80160fa9c61a9e88cf.png?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Acer Aspire 3, 15.6"" Full HD IPS Display, AMD Ryzen 5 7520U Quad-Core Mobile Processor, 8GB LPDDR5, 512GB NVMe SSD, Protective Sleeve, Pure Silver, A315-24P-R2AG",399.$.00,4.5,22,,https://i5.walmartimages.com/asr/82419b69-2477-464e-b2f9-85b7c551d3be.08c6c2afaeb1b4e05338122ee6b24b79.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"eufy Security SoloCam S230 Wireless 2K Solar Powered Camera w/Spotlight, No Monthly Fee",129.$.99,4.8,23,,https://i5.walmartimages.com/asr/e922cf53-70b9-4f6e-91d9-a5a5a249c05b.5b93a2fab39b6de083cdcc623b888967.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Logitech MX Master 3S, Wireless Performance Mouse, Ergo, 8K DPI, Quiet Clicks, USB-C, Black",83.$.99,4.7,96,,https://i5.walmartimages.com/seo/Logitech-MX-Master-3S-Wireless-Performance-Mouse-Ergo-8K-DPI-Quiet-Clicks-USB-C-Black_c1454fca-d817-4de1-ba66-042f1bd6fd36.d3df2148bddb2c6dd997c985a18bf2f5.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"HyperX QuadCast S RGB USB Condenser Microphone with Shock Mount and Pop Filter for Gaming, Streaming, Podcasts, White",99.$.12,4.4,34,,https://i5.walmartimages.com/seo/HyperX-QuadCast-S-RGB-USB-Condenser-Microphone-with-Shock-Mount-and-Pop-Filter-for-Gaming-Streaming-Podcasts-White_4e77bfa3-4e01-44c0-9329-e377cba6e44a.7f73d72655e37496814acfaa23462ca6.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"onn. Google TV Full HD Streaming Device (New, 2023)",14.$.88,4.4,1173,,https://i5.walmartimages.com/asr/5cac9c94-757a-4b18-95fe-96f81457719f.e0304da29ed4cda90bc4119f0a45496d.png?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"TCL 43"" Class S Class 1080p FHD LED Smart TV with Roku TV - 43S310R (New)",148.$.00,4.6,1244,,https://i5.walmartimages.com/asr/2c200a6b-0b81-4d33-b433-77659f70556d.cb13d403f3505f92b2ba44da1ea4728d.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
Apple Watch Series 9 With Blood Oxygen. GPS 41mm Midnight Aluminum Case with Midnight Sport Band - S/M.,299.$.00,4.7,2096,,https://i5.walmartimages.com/seo/Apple-Watch-Series-9-With-Blood-Oxygen-GPS-41mm-Midnight-Aluminum-Case-with-Midnight-Sport-Band-S-M_b38485c6-7a6d-4858-abba-19fdf2df4080.a04077e77d6bcfc2a36158dbe6ca0acd.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
